x1,y1,sigma1,x2,y2,sigma2
325.140014648,80.9112014771,2.54994010925,325.140014648,80.9112014771,2.54994010925
344.385986328,80.8203964233,2.07324004173,344.385986328,80.8203964233,2.07324004173
872.719970703,80.886100769,2.81083989143,872.719970703,80.886100769,2.81083989143
1350.41003418,80.7396011353,9.33973026276,1350.41003418,80.7396011353,9.33973026276
1389.85998535,82.4057006836,2.46332001686,1389.85998535,82.4057006836,2.46332001686
454.209991455,82.0037994385,42.1707992554,454.209991455,82.0037994385,42.1707992554
670.831970215,82.587097168,10.4790000916,670.831970215,82.587097168,10.4790000916
1399.48999023,82.6047973633,2.56522011757,1399.48999023,82.6047973633,2.56522011757
1425.83996582,82.4192962646,9.63189029694,1425.83996582,82.4192962646,9.63189029694
1442.01000977,83.1193008423,5.55052995682,1442.01000977,83.1193008423,5.55052995682
1568.63000488,81.7107009888,5.52804994583,1568.63000488,81.7107009888,5.52804994583
299.269012451,83.2702026367,2.73636007309,299.269012451,83.2702026367,2.73636007309
304.640014648,84.301399231,2.44832992554,304.640014648,84.301399231,2.44832992554
355.428985596,83.1800994873,42.7657012939,355.428985596,83.1800994873,42.7657012939
382.545013428,82.5373001099,3.00771999359,382.545013428,82.5373001099,3.00771999359
1319.02001953,83.4737014771,5.25551986694,1319.02001953,83.4737014771,5.25551986694
1384.83996582,83.533203125,4.05798006058,1384.83996582,83.533203125,4.05798006058
1642.65002441,82.5363006592,42.1503982544,1642.65002441,82.5363006592,42.1503982544
1888.06005859,82.5823974609,41.6492004395,1888.06005859,82.5823974609,41.6492004395
337.117004395,83.9057998657,2.39524006844,337.117004395,83.9057998657,2.39524006844
364.096984863,86.6513977051,2.64914989471,364.096984863,86.6513977051,2.64914989471
1339.43994141,85.1977005005,15.7495002747,1339.43994141,85.1977005005,15.7495002747
1414.02001953,83.5137023926,2.02921009064,1414.02001953,83.5137023926,2.02921009064
1456.19995117,84.6368026733,2.71670007706,1456.19995117,84.6368026733,2.71670007706
1470.55004883,84.9332962036,2.02096009254,1470.55004883,84.9332962036,2.02096009254
1626.31005859,82.0291976929,5.35350990295,1626.31005859,82.0291976929,5.35350990295
1825.98999023,83.8167037964,41.0345993042,1825.98999023,83.8167037964,41.0345993042
319.614013672,85.4570007324,5.0063700676,319.614013672,85.4570007324,5.0063700676
