x1, y1, sigma1, angle1, t1_x, t1_y, theta1, x2, y2, sigma2, angle2, t2_x, t2_y, theta2
373.351,685.894,6.68493e+06,253.979,1,5.18168,45.4502,425.148,625.538,5.50579e+06,249.94,1,5.18168,79.5379
1408.84,492.746,1.12069e+07,225.206,1,2.61757,68.4167,646.142,531.92,9.63456e+06,28.9175,1,1,0
1425.57,494.211,6.48883e+06,133.107,1,5.18168,102.263,1466.56,508.236,9.4377e+06,129.897,1,5.18168,102.263
333.19,1045.63,7.20973e+06,34.3228,1,5.18168,147.713,372.563,1062.45,6.22669e+06,37.0394,1,5.18168,147.713
362.772,1045.76,1.31174e+06,87.7733,1,5.18168,68.1753,933.635,659.479,1.54668e+07,90.5133,1,5.18168,22.7251
403.731,443.207,1.63891e+06,115.755,1,2.61757,0,88.3227,396.142,1.58605e+07,108.154,1,5.18168,45.4502
407.832,1254.88,8.84838e+06,104.052,1,5.18168,34.0877,457.504,535.221,1.35665e+07,101.293,1,5.18168,34.0877
1511.13,79.0476,9.11002e+06,239.098,1,5.18168,68.1753,1561.12,92.565,7.73376e+06,238.544,1,5.18168,68.1753
394.146,1499.67,1.52701e+07,102.83,1,5.18168,170.438,437.376,1513.45,8.12672e+06,105.46,1,5.18168,170.438
501.157,495.352,1.46153e+07,112.188,1,5.18168,102.263,548.737,510.697,2.55616e+06,112.342,1,5.18168,102.263
449.741,1257.67,9.30662e+06,237.353,1,2.61757,114.028,374.313,603.492,197119,94.8329,1,2.61757,0
648.217,903.301,3.34285e+06,79.024,1,5.18168,159.076,110.154,355.812,1.08797e+07,66.4456,1,5.18168,159.076
451.747,555.592,8.3241e+06,109.303,1,2.61757,45.6111,624.854,819.198,1.44282e+06,74.4557,1,2.61757,91.2222
67.8336,1050.38,2.95014e+06,80.3196,1,5.18168,79.5379,638.286,1825.9,1.15351e+07,86.3708,1,2.61757,136.833
499.827,1498.78,3.34336e+06,85.1248,1,5.18168,45.4502,406.79,1100.65,1.29766e+07,75.9638,1,2.61757,91.2222
369.623,1501.39,7.93063e+06,37.0231,1,2.61757,136.833,413.094,1521.65,2.35956e+06,35.2916,1,2.61757,136.833
249.232,80.591,1.30424e+07,256.923,1,5.18168,56.8128,41.9593,1026.28,6.03008e+06,70.1705,1,2.61757,91.2222
29.8623,551.667,3.93267e+06,83.0613,1,5.18168,124.988,45.1534,234.57,1.16664e+07,151.016,1,1,0
1254.29,497.045,1.19936e+07,239.675,1,2.61757,0,1313.56,491.687,1.42874e+07,248.311,1,2.61757,0
657.679,81.8968,1.2649e+07,264.684,1,2.61757,91.2222,493.633,1562.3,4.91546e+06,266.973,1,5.18168,68.1753
31.8231,1050.62,1.61876e+07,106.955,1,2.61757,0,133.781,1104.6,9.50298e+06,99.999,1,2.61757,22.8056
587.742,1499.22,6.81651e+06,103.556,1,2.61757,91.2222,1112.26,663.412,7.47162e+06,268.878,1,5.18168,34.0877
207.054,553.068,6.94707e+06,107.781,1,2.61757,22.8056,312.466,942.764,1.70445e+06,301.681,1,2.61757,114.028
62.1891,1047.76,1.52704e+07,95.0784,1,2.61757,22.8056,104.019,1065.29,1.4423e+06,94.8054,1,2.61757,22.8056
211.511,553.355,7.86483e+06,94.7733,1,2.61757,45.6111,215.182,600.32,1.35009e+07,310.632,1,5.18168,34.0877
1540.02,81.7009,5.37446e+06,139.232,1,5.18168,102.263,1577.73,96.1453,1.23866e+07,147.432,1,5.18168,102.263
136.173,1050,6.09536e+06,69.8282,1,5.18168,90.9004,155.432,1064.77,4.91597e+06,67.7803,1,5.18168,102.263
1550.36,80.4102,5.37421e+06,219.718,1,5.18168,79.5379,1585.59,95.4526,1.50088e+07,229.546,1,5.18168,79.5379
495.084,1502.44,1.02899e+07,94.7337,1,5.18168,22.7251,527.082,1495.82,7.9959e+06,80.0338,1,2.61757,68.4167
473.708,688.97,6.48858e+06,261.869,1,5.18168,170.438,190.04,331.625,3.01517e+06,259.595,1,2.61757,91.2222
56.9119,351.354,6.81651e+06,118.871,1,2.61757,22.8056,48.5485,500.634,1.06826e+07,103.046,1,5.18168,22.7251
187.506,1050.67,1.62534e+07,74.908,1,2.61757,0,230.147,1068.28,1.28456e+07,75.3833,1,2.61757,0
1142.41,442.258,2.94963e+06,258.236,1,5.18168,79.5379,1185.51,456.918,1.29766e+07,257.678,1,5.18168,79.5379
185.28,903.329,1.29114e+07,39.4941,1,1,0,1352.77,1956.96,1.52704e+07,304.464,1,5.18168,124.988
316.046,1050.11,7.47136e+06,222.886,1,5.18168,147.713,354.136,1061.01,3.14598e+06,234.522,1,5.18168,147.713
1215.82,555.901,7.73402e+06,87.4213,1,5.18168,124.988,100.199,344.767,9.4377e+06,80.9236,1,5.18168,124.988
482.594,904.183,4.98125e+06,100.802,1,2.61757,68.4167,344.002,1040.19,9.6343e+06,281.826,1,2.61757,22.8056
287.278,792.388,459263,307.416,1,1,0,913.028,622.081,1.24595e+06,286.23,1,1,0
355.404,1505.1,1.21247e+07,93.2239,1,5.18168,68.1753,447.38,540.138,1.17315e+07,89.9499,1,5.18168,136.351
1564.36,87.7924,7.66822e+06,105.956,1,2.61757,136.833,114.652,1108.66,7.86483e+06,241.514,1,2.61757,68.4167
1432.59,495.891,4.39117e+06,134.759,1,5.18168,102.263,491.426,1408.27,1.33699e+07,301.762,1,5.18168,170.438
408.425,446.101,1.2715e+07,86.5271,1,2.61757,68.4167,498.698,1639.97,1.08792e+07,81.8293,1,2.61757,68.4167
184.777,88.2625,131585,250.455,1,5.18168,113.626,505.199,1435.39,1.51393e+07,67.4341,1,5.18168,147.713
954.689,690.099,6.35776e+06,89.6136,1,5.18168,56.8128,935.894,661.56,7.99565e+06,88.7437,1,5.18168,34.0877
1110.89,354.655,1.4156e+07,240.902,1,5.18168,79.5379,1061.3,339.46,1.4943e+07,244.479,1,5.18168,79.5379
224.673,89.461,6.4233e+06,115.127,1,2.61757,136.833,1163.66,574.84,4.12954e+06,204.341,1,2.61757,68.4167
900.43,444.998,6.75046e+06,281.145,1,5.18168,113.626,942.004,459.464,3.27706e+06,279.71,1,5.18168,113.626
169.056,1055.16,2.62246e+06,24.1616,1,1,0,1002.87,741.481,8.06144e+06,42.97,1,2.61757,68.4167
648.046,90.3774,9.04422e+06,19.7904,1,5.18168,159.076,699.648,115.176,4.19456e+06,18.9696,1,5.18168,159.076
1114.36,615.113,1.16659e+07,86.9887,1,2.61757,159.639,1157.59,630.274,1.19936e+07,87.5284,1,2.61757,159.639
261.678,355.71,1.42221e+07,97.0363,1,2.61757,0,30.9932,1015.35,7.40634e+06,66.8286,1,2.61757,91.2222
438.037,1268.92,8.58547e+06,96.123,1,5.18168,68.1753,251.821,357.267,1.43529e+07,252.264,1,2.61757,68.4167
1315.01,355.841,8.25779e+06,67.8073,1,2.61757,159.639,1616.35,367.724,7.47187e+06,49.9619,1,2.61757,91.2222
442.911,1268.25,1.20589e+07,90.4888,1,5.18168,79.5379,251.821,357.267,1.43529e+07,252.264,1,2.61757,68.4167
1281.12,447.371,1.35667e+07,264.427,1,2.61757,0,345.452,502.292,6.75098e+06,239.655,1,2.61757,136.833
229.146,904.722,7.60294e+06,281.26,1,5.18168,11.3626,153.748,302.732,1.10106e+07,285.469,1,5.18168,147.713
1047.34,556.141,4.064e+06,253.954,1,5.18168,102.263,1095.18,573.092,3.67078e+06,254.239,1,5.18168,102.263
